ticker,open,close,high,low,vwap,volume,gap,date
KSCP,1.6,2.2,2.2,1.6,2.0,24375907.0,38.5,2023-07-14
BAOS,7.9,10.3,10.3,7.7,9.6,797293.0,30.1,2023-07-14
DRUG,3.0,3.7,4.2,3.0,3.5,2810787.0,23.1,2023-07-14
AENT,2.2,2.7,3.1,2.2,2.7,403371.0,21.8,2023-07-14
CJET,3.3,4.2,5.2,3.3,4.5,10795562.0,30.4,2023-07-14
EVTV,2.5,3.0,3.4,2.5,3.0,293977.0,22.7,2023-07-14
